site_id,year,site_name,security_incidents_count,percent_https_pages,avg_patch_time_days,csp_present,malware_detections,phishing_reports,whois_age_years,ssl_grade,blocklist_hits
site007,2014,example97,29,81.9197713304311,3.030210342956707,0,10,15,11.890200840309262,7.024304267251864,4
site007,2015,example98,34,65.96976854838431,29.021685376297683,0,2,12,12.919711431022733,9.429350376594812,0
site007,2016,example99,13,82.38183476962149,11.679838061332703,1,2,15,9.746134653687477,6.906490083783865,1
site007,2017,example100,28,77.0754230581224,20.646168454084545,0,1,11,6.4325727401301265,7.138836021767929,2
site007,2018,example101,31,77.90920393541455,25.53260018117726,0,7,4,3.012567911762744,5.198557114927098,3
site007,2019,example102,6,93.33179086446762,8.007861174177378,0,3,3,13.343419259414077,7.248059822013602,3
site007,2020,example103,2,88.7834913097322,2.019378740573302,0,10,8,13.232385375536978,8.473783230874687,3
site007,2021,example104,22,78.27547022141516,18.261966865044087,1,7,15,5.74073168868199,9.042110729496926,5
site007,2022,example105,14,80.85057051852345,25.24954271223396,0,0,10,8.186381489504129,5.767595702782273,0
site008,2008,example106,20,69.698283104226,11.505227097077295,1,4,2,7.9150959411635995,7.762526066508144,5
site008,2009,example107,36,63.034433387219906,10.633467468200251,0,5,11,12.108129289932549,7.1860258805099875,1
site008,2010,example108,7,75.65180364996195,19.69735359097831,0,1,13,13.857811668422073,8.643434852128848,4
site008,2011,example109,50,60.52432863973081,28.799838967155665,0,4,15,9.209043762646616,7.1104057936463505,2
site008,2012,example110,9,94.69997874461114,18.28990522539243,0,6,0,12.528725518845022,7.247631995705888,2
site008,2013,example111,49,99.70462694764137,15.798120521241799,0,7,3,12.304144740104675,8.784912105184048,3
site008,2014,example112,41,88.35421552881598,5.502659941557795,1,4,8,4.942021780181676,6.232060028705746,4
site008,2015,example113,43,93.06861961260438,25.529679160099477,0,2,0,8.121080389712006,7.368481489829719,5
site008,2016,example114,33,95.67585078068078,7.217032343382016,1,4,15,5.1332121645100415,6.139496826799586,2
site008,2017,example115,9,81.57642930746078,20.426324100000784,1,3,5,13.146732772234827,7.232818501070142,5
site008,2018,example116,21,82.21254367381334,18.91493708617054,0,10,4,10.987143472768366,9.51735726906918,0
site008,2019,example117,11,71.05759534984827,2.4499935328494757,1,5,1,6.072918287478387,9.755057300208136,5
site008,2020,example118,19,86.36791703291237,28.532564491964877,1,3,6,14.95842362428084,7.930268296040595,0
site008,2021,example119,45,69.73740969784558,17.894008916802704,1,9,15,10.814046330749989,8.225072192726657,2
site008,2022,example120,16,71.53064819052815,25.967675774591044,1,7,14,4.324704515282065,9.716078685596585,2
site009,2008,example121,45,88.63123834133148,16.03555023111403,1,6,10,10.064957519993186,8.667676434852183,0
site009,2009,example122,34,89.10134532488883,8.717697020154446,1,6,13,5.815331815741956,9.751292946748435,0
site009,2010,example123,39,66.92172154784203,18.323952240869403,0,8,10,12.208765658084303,8.412851942703128,1
site009,2011,example124,45,72.25245035253465,24.07170644099824,0,5,8,5.550390111748129,6.292043104767799,0
site009,2012,example125,50,74.7962910681963,20.989295089850202,1,4,14,4.74200166715309,8.581076187547296,5
site009,2013,example126,29,63.10886217281222,14.938317693537101,1,4,15,1.9769357279874384,7.4499317817389965,4
site009,2014,example127,14,88.52600755169988,14.511952274246141,1,2,13,8.987243189942092,9.54591142362915,0
site009,2015,example128,23,82.0369091629982,18.933957719942555,1,0,6,1.0583917847834527,9.671744742663577,0
site009,2016,example129,48,65.4346158541739,14.028844914864749,1,9,11,4.932623119093478,7.38615553942509,5
site009,2017,example130,22,98.9665477629751,18.478518448304385,0,5,3,4.921220780350268,7.200436673592776,0
site009,2018,example131,42,82.4785263556987,1.1336602487135679,0,2,15,12.455210708081722,7.979684262536466,0
site009,2019,example132,6,91.5363752655685,29.854840863263234,0,9,3,2.6426803558133543,8.532642115605995,2
site009,2020,example133,28,93.95656337030232,12.787411004072055,1,6,9,4.670304024592042,9.877799197565764,3
site009,2021,example134,14,95.12167098931968,4.420597476884723,0,10,9,7.1492593651637435,7.329161022789776,1
site009,2022,example135,22,92.01905495487154,26.216633764328435,1,7,0,14.41738248988986,6.490213393699378,1
site010,2008,example136,25,85.60593945905566,16.66559574054554,0,9,8,5.446752704214305,9.132259292528033,1
site010,2009,example137,37,85.15711043030024,26.5663323700428,1,10,13,11.99482458550483,9.508248586207628,5
site010,2010,example138,45,70.856360187754035,2.0886553323362023,1,7,12,2.8414137922227383,8.070252414327115,0
site010,2011,example139,31,61.197593016549945,26.561584902228788,0,3,3,7.923440728336573,6.359497545054182,3
site010,2012,example140,6,76.79456859827042,21.948140423744917,1,1,7,8.35294796153903,7.165052996715531,2
site010,2013,example141,26,74.21738684177399,23.3244986012578,1,3,10,13.405807782895863,9.781899889931083,0
site010,2014,example142,41,75.69325015880167,26.04421755974181,1,5,5,6.06357437511906,7.546500525204465,1
site010,2015,example143,4,66.87747329473495,15.52152099297382,0,6,0,7.528106223326176,6.263132479507476,1
site010,2016,example144,5,72.78568477369845,27.850056705297902,1,1,11,7.161088800057769,7.051675206748769,2
site010,2017,example145,15,76.54220256954432,7.034165438264608,1,4,6,10.987205937039107,6.038579280721024,0
site010,2018,example146,23,90.3734278678894,1.7860622208099812,0,0,12,1.7166028493084013,7.517960303230211,4
site010,2019,example147,31,70.87560820393264,10.157999091083184,0,10,0,10.818449108395725,9.249964149203151,1
site010,2020,example148,20,64.62329828180373,20.143255240283906,1,10,2,10.288668228778988,5.110458927229047,4
site010,2021,example149,10,61.173464599996805,10.126047721365467,1,1,5,10.294129434041679,9.163552254904062,4
site010,2022,example150,35,92.27421191520989,28.389380246633664,0,6,7,7.99865131219849,6.276319894241169,0
site011,2008,example151,43,79.20505746267736,23.590146815637127,0,9,11,4.85465358523652,8.547133796382695,4
site011,2009,example152,45,92.24991761147976,10.843506142031401,1,6,1,6.224631086457521,8.31676357309334,1
site011,2010,example153,18,63.160227267071605,14.967741675442085,0,9,7,2.4769390719011426,8.038229250814766,0
site011,2011,example154,24,64.61349638178945,13.063849164173007,1,7,14,4.569469806738198,8.086132326861843,1
site011,2012,example155,38,65.1766515802592,23.51368308463134,0,4,1,1.6485240729525685,7.977777986088768,2
site011,2013,example156,25,89.54994168132544,15.077383171534166,0,9,13,7.57451236853376,8.384360641939566,5
site011,2014,example157,8,90.28394133783877,1.4436740204691887,0,2,3,5.5372382421046495,9.900244663003832,1
site011,2015,example158,6,99.69821234233677,19.63108755974099,0,6,0,3.9398226528428495,9.187910684850067,0
site011,2016,example159,33,84.98211949132383,7.810069560306147,0,7,15,11.536837338004261,5.379977278644219,1
site011,2017,example160,47,71.54760434292257,22.663750608684495,0,8,5,4.414257388561964,7.641038798028603,2
site011,2018,example161,12,67.99647097475827,9.572613860946149,1,7,3,6.67753558466211,5.8099202637095,3
site011,2019,example162,18,92.03671394847333,27.28032755665481,1,1,7,10.847564769908786,7.158474604366347,3
site011,2020,example163,46,89.11050841212273,25.7463965206407,1,9,6,2.601883891969919,5.502119300654158,5
site011,2021,example164,38,68.68191898800433,14.396949531976134,0,8,9,2.8865845347754657,5.527816644171253,3
site011,2022,example165,3,89.7695402149111,3.0690992001909763,1,9,14,14.78267523040995,9.158312161453068,5
site012,2008,example166,0,94.6661483310163,17.756308008916676,0,6,12,14.674818826373667,9.770124820061028,3
site012,2009,example167,39,81.17623025551438,17.807800686219707,0,6,9,11.621287017595023,7.014898548368365,3
site012,2010,example168,29,83.9455418754369,29.81372653110884,0,10,1,1.4208326921798289,6.843244236661121,0
site012,2011,example169,29,97.50529329292476,10.722958017373458,0,3,4,14.638936184812337,7.241399328922853,5
site012,2012,example170,24,98.02896393463016,20.33725145109929,1,1,1,11.643784859683365,7.1687612403184175,4
site012,2013,example171,15,86.42129205167294,28.21812405763194,0,9,3,13.424188547302037,9.813659063074738,0
site012,2014,example172,23,62.89146323688328,17.670848213601857,0,0,15,4.107343475800008,8.706666519865394,4
site012,2015,example173,10,93.05326314643025,21.059631003299728,1,6,7,4.786640350241214,6.406428328482434,0
site012,2016,example174,47,79.1817631199956,3.6029990250244737,0,0,0,9.501570347696543,7.454977055313066,4
site012,2017,example175,19,75.6491513364017,26.127318094251677,0,10,5,5.762780223507434,9.892264164518565,3
site012,2018,example176,39,71.96491102688015,15.533042507246137,0,3,7,11.597570077516139,7.837330721085891,3
site012,2019,example177,2,69.77232998237014,7.474432240007445,1,3,2,2.0477238036692142,5.396762161981314,5
site012,2020,example178,28,76.87240527011454,12.960158006986603,1,5,5,13.468804931268096,5.296506693121046,1
site012,2021,example179,35,97.51080707646906,26.70288210758008,1,3,10,11.786910632159561,9.53110329224728,5
site012,2022,example180,43,70.57940466329455,15.372209679568186,1,8,5,13.357778052333742,9.120957161067054,1
site013,2008,example181,21,82.7427501603961,20.50985810509883,1,0,15,14.26886019622907,8.133490992477164,3
site013,2009,example182,48,68.08738270774484,9.192628700751811,1,8,1,5.536070783156902,6.069481514859945,2
site013,2010,example183,41,67.71222507581115,24.694690784905106,0,7,13,3.5012360587716103,6.743929199874401,1
site013,2011,example184,19,88.74446980655193,8.136884182924405,1,10,10,3.097900800872594,5.7068487466312945,0
site013,2012,example185,10,72.54071582108736,11.719739623833448,1,9,5,2.605008696205914,7.156949072377756,0
site013,2013,example186,7,65.53560509346426,7.83020745543763,0,0,6,7.5978972860611975,8.866935062687844,0
site013,2014,example187,45,62.321227909997106,28.136950852815062,0,0,4,12.358128290623426,9.54855268355459,3
site013,2015,example188,20,97.243985645473,13.037228021537885,0,9,0,13.134393990971148,9.133781141135842,2
site013,2016,example189,44,82.73352048359811,4.986032756278291,1,6,5,1.9057878088206053,9.778956595109776,0
site013,2017,example190,1,64.71081442199647,27.51657696766779,0,4,3,11.247390750329942,6.882408930687234,0
site013,2018,example191,42,82.59177925996482,11.081599906319752,1,0,10,14.617417437490076,5.23313952377066,2
site013,2019,example192,12,81.61024731583893,25.734995396109298,0,7,10,5.355640766676515,6.447844103677198,3
site013,2020,example193,45,92.78730073943734,5.136420183815062,0,4,14,11.029390008654445,9.998440747149289,4
site013,2021,example194,5,88.119180155918,11.42355325864628,1,4,13,9.332826169673353,7.243756850948557,3
site013,2022,example195,7,82.70993494428694,8.119646958075464,0,4,13,1.6045512929558754,9.975152376573533,1
site014,2008,example196,43,88.85237065143883,2.331272449111566,0,10,1,7.287916183006018,8.537252834066749,4
site014,2009,example197,31,90.09776853956282,23.75188916316256,1,0,3,9.941447539720684,6.498398690018803,2
site014,2010,example198,35,75.25690387003124,6.775980300735682,1,9,3,12.20945135038346,9.541660095565021,5
site014,2011,example199,44,71.52041125111282,12.363657083362341,0,6,15,8.586379418615252,7.371665324317291,3
site014,2012,example200,13,81.26733308658004,10.383305094903335,1,10,0,13.345475270412862,9.076564820716158,2
site014,2013,example201,15,70.38584285415709,18.46107124700211,0,6,15,1.094999455846846,6.267450141021982,1
site014,2014,example202,22,93.27161271125078,16.696878707502037,0,3,9,7.255547336768359,9.790484255645424,0
site014,2015,example203,32,76.21455539017916,29.733888247981668,0,5,11,7.766283071134239,7.314756753621623,5
site014,2016,example204,39,62.90527702309191,8.3599404245615,0,1,5,12.105780789162964,5.650503449141979,3
site014,2017,example205,39,98.15034498460591,22.322826902614906,0,0,8,4.899200086016208,8.851536806905642,3
site014,2018,example206,9,68.68735131807625,29.35063667036593,1,1,13,9.267704225610942,5.710308742709458,2
site014,2019,example207,24,76.22501066885889,17.18334101093933,1,0,0,3.6244331570342183,7.7058124309405684,5
site014,2020,example208,7,85.02673261798918,12.388536626007408,1,8,1,12.30194448074326,8.287506843917072,5
site014,2021,example209,17,85.13619215227664,24.915988519322127,0,2,6,9.320723757147789,7.880658187204972,5
site014,2022,example210,8,73.12954656779766,4.259149365127087,1,3,10,4.812761726323515,7.524955793051049,2
site015,2008,example211,6,65.55637967772782,16.5375592187047,1,5,5,12.236187942326069,9.652020639041439,2
site015,2009,example212,6,96.586286816746,13.871115961577743,0,5,6,9.468693159054965,6.133036252576858,0
site015,2010,example213,9,83.96463869139552,8.944759167963639,0,8,12,14.41083749057725,5.068833987461403,3
site015,2011,example214,23,89.9842838384211,5.563368537928909,0,8,13,3.5005298438481987,6.3898386678192765,4
site015,2012,example215,22,96.75818980671465,26.283304137643427,0,10,10,1.0593300135806203,6.557782799936831,0
site015,2013,example216,25,81.15061583928764,17.299300834769383,0,2,1,6.204654619563371,9.50221367413178,2
site015,2014,example217,42,74.87914984114468,16.970002989750355,1,8,12,11.800218432676047,7.78707257239148,0
site015,2015,example218,32,62.632332844659686,18.178593282820657,1,9,4,9.02379009500146,5.6748052046168596,4
site015,2016,example219,28,94.1747969482094,22.10657301894389,0,7,5,3.3864326453767717,6.083920048549771,3
site015,2017,example220,50,80.41645205579698,19.528833253774792,1,5,9,2.2515360387042165,5.422890350455418,4
site015,2018,example221,9,68.39992234483361,18.81905478029512,0,6,13,13.267177084460855,9.278236916288733,1
site015,2019,example222,12,75.0337374676019,2.5200886668171734,0,3,11,3.0383652220480144,5.2934272307902575,1
site015,2020,example223,42,68.29461999237537,17.38957483554259,1,7,7,9.893873296678066,6.639885971089825,2
site015,2021,example224,10,78.3696326892823,18.03290002886206,0,9,15,7.247327774763107,7.50098358374089,1
site015,2022,example225,24,69.66009000316262,19.228445178596303,0,4,6,13.960710600484163,6.669480314012617,1
site016,2008,example226,25,64.74761289544404,19.03482870524749,0,1,5,9.566597032360733,9.38528181402944,0
site016,2009,example227,6,62.89876598864794,3.3858312191441655,1,5,3,1.966964839026332,9.413912410382181,2
site016,2010,example228,24,87.63959399424493,3.251635752618313,1,8,0,8.235316073521972,9.505565305007622,1
site016,2011,example229,22,71.47830476984382,20.925746004562825,1,5,1,10.65397715009749,8.989711770555004,1
site016,2012,example230,25,65.97649982199073,25.0788041788619,1,2,0,7.788675017654896,9.507411357481033,3
site016,2013,example231,31,98.8972803670913,5.231386379804462,1,7,4,9.624894900713116,7.201305105118081,4
site016,2014,example232,19,76.42057561315596,23.722372096963227,1,2,10,7.707760920748115,6.98696076287888,0
site016,2015,example233,23,76.07255416922271,15.107052294770256,0,1,7,12.937085485085845,6.8577382690273225,2
site016,2016,example234,8,85.94225394539535,29.688688058173284,1,5,8,4.747218478471041,7.644042866304517,4
site016,2017,example235,40,96.65222958661616,15.474043681519106,1,7,15,6.720287187024951,5.368927059462294,2
site016,2018,example236,36,68.66648555733263,17.30555551731959,0,6,12,12.194636238738894,8.58424884150736,1
site016,2019,example237,22,81.91995487548411,11.969453597674146,0,3,0,13.231683427467942,6.214061762439087,4
site016,2020,example238,13,88.80201831459999,16.040478722425178,0,0,13,8.544535723980516,9.222499345196411,4
site016,2021,example239,45,75.88984020985663,3.154229972977191,1,9,10,5.594436230137944,9.976591339800507,4
site016,2022,example240,5,63.760055704042315,16.615697980858386,0,7,15,9.096047973260283,5.5250529025215656,0
site017,2008,example241,26,85.39585620164871,28.870769023895264,0,9,0,5.674253240227699,7.425385245587677,0
site017,2009,example242,0,60.099152410402894,16.30649404786527,0,9,9,3.2189389066770673,8.418482696870342,4
site017,2010,example243,25,68.42092959210277,13.677624104777351,0,10,9,8.14173312857747,9.097540254006162,4
site017,2011,example244,41,87.16091237962246,1.935742900473997,1,1,1,1.5106228697113693,8.82783794309944,2
site017,2012,example245,48,94.64756521396339,2.094291239976883,0,3,13,2.9946923898532987,7.134001086233184,4
site017,2013,example246,16,91.98788462206721,2.373100524302572,1,5,11,3.4069830644875765,9.679857873125002,2
site017,2014,example247,28,65.39985593408346,5.6678120330907404,0,1,15,5.535852824803442,8.645054483786225,2
site017,2015,example248,25,75.4999303072691,14.603824406629428,1,0,15,5.950019220355898,6.68657963280566,0
site017,2016,example249,26,91.53887716121972,24.371795270359144,0,4,8,13.131018345244229,7.394873930606991,5
site017,2017,example250,20,87.71654666401446,9.137327966978773,1,2,3,5.990150455851108,9.827511813491583,4
site017,2018,example251,6,83.7709188554436,22.888735570944846,1,5,8,14.310013706795871,9.568519700551406,0
site017,2019,example252,25,64.95430605486035,16.13294863072224,0,2,0,7.753915670327842,6.140395735856146,2
site017,2020,example253,40,82.20312410965562,9.379468602361158,1,9,10,13.143810361623764,6.5362975222524256,2
site017,2021,example254,19,77.97645551152527,1.5039388425648212,0,10,11,5.446730541996658,6.73342602676712,0
site017,2022,example255,5,90.64666114747524,20.382136365631595,1,8,10,5.696544757578522,5.218599502695724,2
site018,2008,example256,49,61.043908866122365,2.942302976269275,1,3,10,3.2596380705945194,9.818153553642333,3
site018,2009,example257,29,67.80685727484524,25.255206377711147,0,9,3,9.749153363518417,9.077768574934453,0
site018,2010,example258,30,95.24938259273767,4.924951518885791,0,2,8,3.5677281878888607,8.373614092124626,5
site018,2011,example259,28,64.39206373877823,20.020465145353228,1,3,1,8.549195575527847,7.030218478757888,2
site018,2012,example260,16,98.74203711748123,25.300484135514125,0,5,0,3.746392499189824,6.330726909218356,4
site018,2013,example261,36,75.40794371627271,8.47179188602604,0,5,11,2.4561428604647517,9.641610299004242,3
site018,2014,example262,19,94.34365629218519,4.94386326847598,1,6,8,5.623701414093375,6.832867908524349,0
site018,2015,example263,34,95.49539018422365,23.141164012718946,0,1,15,9.421954283956438,7.747460555983707,4
site018,2016,example264,24,79.56365994177759,7.14789076638408,0,7,13,10.665724631398916,7.605235273949802,0
site018,2017,example265,45,88.72367235831916,8.7711183775682,0,3,11,3.868410420138389,9.634954566136003,4
site018,2018,example266,32,79.46822290308774,16.42310464475304,1,0,11,6.810356695204973,7.508675591088831,5
site018,2019,example267,1,99.54835443757474,14.749389154836535,1,7,11,3.0220250571146607,8.184579083463177,0
site018,2020,example268,3,62.59004518389702,11.829866284504533,0,5,12,3.905806191265583,6.174754415405914,2
site018,2021,example269,9,66.30651111714542,23.485147927422076,0,1,6,11.723006003070623,6.817675455240533,1
site018,2022,example270,32,91.41394473612309,17.187915132381022,1,9,5,7.742780409287661,9.46751007460989,0
